AAW40665.2	5fed8248f9b97f8114f5b7a489d58f06	1284	Pfam	PF06011	Transient receptor potential (TRP) ion channel	273	703	8.2E-29	T	08-03-2023	IPR010308	TRP, C-terminal
AAW40662.2	1c2f45f432e5d0fe2f76d0d712925986	159	Pfam	PF00125	Core histone H2A/H2B/H3/H4	22	156	4.8E-47	T	08-03-2023	IPR007125	Histone H2A/H2B/H3
AAW40709.1	2085d9be3b42e85bf7eb85ace16b40a5	352	CDD	cd00066	G-alpha	34	346	0.0	T	08-03-2023	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
AAW40709.1	2085d9be3b42e85bf7eb85ace16b40a5	352	Pfam	PF00503	G-protein alpha subunit	14	341	5.2E-114	T	08-03-2023	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
AAW40713.1	6153e71154aa2982add1ca5a03178593	505	CDD	cd16659	RING-Ubox_Emp	443	494	2.25179E-26	T	08-03-2023	-	-
AAW40713.1	6153e71154aa2982add1ca5a03178593	505	Pfam	PF10607	CTLH/CRA C-terminal to LisH motif domain	204	342	5.8E-36	T	08-03-2023	IPR024964	CTLH/CRA C-terminal to LisH motif domain
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	Pfam	PF00226	DnaJ domain	6	70	1.6E-22	T	08-03-2023	IPR001623	DnaJ domain
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	CDD	cd10747	DnaJ_C	226	359	4.37179E-34	T	08-03-2023	-	-
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	CDD	cd06257	DnaJ	6	62	4.7803E-22	T	08-03-2023	IPR001623	DnaJ domain
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	Pfam	PF00684	DnaJ central domain	158	225	6.7E-14	T	08-03-2023	IPR001305	Heat shock protein DnaJ, cysteine-rich domain
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	Pfam	PF01556	DnaJ C terminal domain	133	358	2.8E-32	T	08-03-2023	IPR002939	Chaperone DnaJ, C-terminal
AAW40658.2	607bc80c223c8b476f49975abd370a58	403	CDD	cd10719	DnaJ_zf	158	225	3.34989E-17	T	08-03-2023	IPR001305	Heat shock protein DnaJ, cysteine-rich domain
AAW40717.1	440b332ec9004821b0bba08f3eb68173	342	Pfam	PF00134	Cyclin, N-terminal domain	81	175	3.0E-9	T	08-03-2023	IPR006671	Cyclin, N-terminal
AAW40717.1	440b332ec9004821b0bba08f3eb68173	342	CDD	cd20557	CYCLIN_ScPCL1-like	81	172	3.51053E-22	T	08-03-2023	-	-
AAW40705.1	826e59a621be4e47ca3cfd74eda43caa	476	Pfam	PF01546	Peptidase family M20/M25/M40	93	468	6.5E-36	T	08-03-2023	IPR002933	Peptidase M20
AAW40705.1	826e59a621be4e47ca3cfd74eda43caa	476	Pfam	PF07687	Peptidase dimerisation domain	209	367	9.3E-10	T	08-03-2023	IPR011650	Peptidase M20, dimerisation domain
AAW40705.1	826e59a621be4e47ca3cfd74eda43caa	476	CDD	cd05676	M20_dipept_like_CNDP	6	474	0.0	T	08-03-2023	-	-
AAW40628.1	c8b22f08481718f17519934fa5f55134	749	CDD	cd20557	CYCLIN_ScPCL1-like	305	411	2.03662E-16	T	08-03-2023	-	-
AAW40647.1	42804fad45ad5324d2b6626e03e72a97	417	Pfam	PF11566	PI31 proteasome regulator N-terminal	22	209	5.3E-45	T	08-03-2023	IPR021625	PI31 proteasome regulator, N-terminal
AAW40647.1	42804fad45ad5324d2b6626e03e72a97	417	Pfam	PF08577	PI31 proteasome regulator	267	333	2.0E-9	T	08-03-2023	IPR013886	PI31 proteasome regulator, C-terminal
AAW40670.1	a53955b7be3e0f35194651879e9f4b82	331	CDD	cd02037	Mrp_NBP35	18	244	2.66416E-103	T	08-03-2023	-	-
AAW40670.1	a53955b7be3e0f35194651879e9f4b82	331	Pfam	PF10609	NUBPL iron-transfer P-loop NTPase	16	255	1.1E-79	T	08-03-2023	IPR033756	Flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35
AAW40715.1	c5e09e545d04f2e35a0b46c2b06a0c9e	203	Pfam	PF12850	Calcineurin-like phosphoesterase superfamily domain	4	158	1.4E-16	T	08-03-2023	IPR024654	Calcineurin-like phosphoesterase domain, lpxH-type
AAW40715.1	c5e09e545d04f2e35a0b46c2b06a0c9e	203	CDD	cd07394	MPP_Vps29	3	181	6.56477E-119	T	08-03-2023	IPR028661	Vacuolar protein sorting-associated protein 29
AAW40719.1	011531b329a0a90665c193dc56a3c577	611	Pfam	PF04818	CID domain	35	138	1.3E-7	T	08-03-2023	IPR006569	CID domain
AAW40719.1	011531b329a0a90665c193dc56a3c577	611	CDD	cd16982	CID_Pcf11	28	160	7.26686E-46	T	08-03-2023	IPR047415	Pcf11, CID domain
AAW40618.2	fbb9f2bb46b78adde0a53161393edc85	367	CDD	cd16180	EFh_PEF_Group_I	194	364	4.15796E-67	T	08-03-2023	-	-
AAW40618.2	fbb9f2bb46b78adde0a53161393edc85	367	Pfam	PF13499	EF-hand domain pair	193	257	6.2E-12	T	08-03-2023	IPR002048	EF-hand domain
AAW40618.2	fbb9f2bb46b78adde0a53161393edc85	367	Pfam	PF13202	EF hand	266	284	0.006	T	08-03-2023	IPR002048	EF-hand domain
AAW40700.1	e933c6102593ab6e056209de39099323	267	Pfam	PF08552	Inositolphosphorylceramide synthase subunit Kei1	15	196	2.8E-47	T	08-03-2023	IPR013862	Inositolphosphorylceramide synthase subunit Kei1
AAW40637.1	6badff6e9c3fe55b7367d8ddbe772e24	494	Pfam	PF07690	Major Facilitator Superfamily	54	403	1.2E-30	T	08-03-2023	IPR011701	Major facilitator superfamily
AAW40636.2	2f06836698ec54011dbe5b5eaacc5a0c	735	Pfam	PF11951	Fungal specific transcription factor domain	333	734	3.0E-61	T	08-03-2023	IPR021858	Fungal transcription factor
AAW40636.2	2f06836698ec54011dbe5b5eaacc5a0c	735	CDD	cd00067	GAL4	66	101	4.74756E-11	T	08-03-2023	IPR001138	Zn(2)Cys(6) fungal-type DNA-binding domain
AAW40636.2	2f06836698ec54011dbe5b5eaacc5a0c	735	Pfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	70	99	5.2E-5	T	08-03-2023	IPR001138	Zn(2)Cys(6) fungal-type DNA-binding domain
AAW40694.2	7f2fdc1f92af014022f8134ae3fea026	1164	Pfam	PF10304	Required for nuclear transport of RNA pol II C-terminus 2	1105	1126	6.0E-5	T	08-03-2023	IPR019414	RNA polymerase II assembly factor Rtp1, C-terminal domain 2
AAW40694.2	7f2fdc1f92af014022f8134ae3fea026	1164	Pfam	PF10363	Required for nuclear transport of RNA pol II C-terminus 1	791	908	1.5E-25	T	08-03-2023	IPR019451	RNA polymerase II assembly factor Rtp1, C-terminal
AAW40707.2	8174b8707d14e6ce357cff9402c80a02	1254	Pfam	PF14377	Ubiquitin binding region	878	899	0.024	T	08-03-2023	IPR025527	HUWE1/REV1, ubiquitin-binding motif
